v2.2
08/03/2021
06:37:11
18:24:32
52.0
4
Kenia S&aacute;nhez Padr&oacute;n
T&eacute;c. Meteorolog&iacute;a
01/12/1980
10
3,7,20,4,9,15.1,-999.0,88,3,0,60,60,-999.00,0,  0.18,Rocio CC:106
3,8,20,4,9,15.2,-999.0,89,3,0,62,62,-999.00,0,  0.40, CC:106
3,9,20,0,8,15.4,-999.0,85,3,0,116,116,-999.00,0,  0.60, CC:106
3,10,20,0,9,16.2,-999.0,85,3,0,119,119,-999.00,0,  0.75, CC:106
3,11,20,0,9,16.2,-999.0,88,0,237,116,318,-999.00,0,  0.85, CC:106
3,12,20,0,9,17.8,-999.0,84,0,627,126,686,-999.00,0,  0.89, CC:106
3,13,20,0,7,20.0,-999.0,62,0,523,160,616,-999.00,0,  0.87, CC:106
3,14,20,0,6,20.5,-999.0,73,0,475,166,540,-999.00,0,  0.79, CC:106
