v2.2
16/03/2021
06:29:59
18:27:27
41.7
1
Marta Mar&iacute;n Mart&iacute;nez
T&eacute;c. Meteorolog&iacute;a
12/09/2010
10
3,7,20,4,9,15.2,-999.0,99,3,0,121,121,-999.00,0,  0.21, CC:106
3,8,20,0,7,18.6,-999.0,87,3,0,127,127,-999.00,0,  0.43, CC:106
3,9,20,0,9,20.1,-999.0,81,3,0,157,157,-999.00,0,  0.63, CC:106
3,10,20,0,9,21.1,-999.0,72,3,0,133,133,-999.00,0,  0.78, CC:106
3,11,20,0,8,21.8,-999.0,83,0,623,121,668,-999.00,0,  0.88, CC:106
3,12,20,0,9,22.9,-999.0,87,0,553,151,659,-999.00,0,  0.92, CC:106
3,13,20,0,4,25.0,-999.0,53,1,472,354,775,-999.00,0,  0.89, CC:106
3,14,20,0,4,25.3,-999.0,57,1,524,347,770,-999.00,0,  0.81, CC:106
3,15,20,0,3,25.6,-999.0,57,0,415,102,378,-999.00,0,  0.67, CC:106
